Structure name,Size (bits),Offset (bytes)
communication_path_definition,448
communication_path_definition.source_node,32,0
communication_path_definition.destination_node,32,4
communication_path_definition.instance,32,8
communication_path_definition.source_ib_device,64,16
communication_path_definition.destination_ib_device,64,24
communication_path_definition.source_port_num,8,32
communication_path_definition.destination_port_num,8,33
communication_path_definition.service_level,8,34
communication_path_definition.max_message_size,32,36
communication_path_definition.num_message_buffers,32,40
communication_path_definition.allocation_type,32,44
communication_path_definition.tx_polls_for_errors,8,48
communication_path_definition.tx_checks_memory_buffer_size,8,49
communication_path_definition.set_non_default_retry_timeout,8,50
communication_path_definition.retry_timeout,8,51
message_header,128
message_header.sequence_number,32,0
message_header.message_length,32,4
message_header.message_id,32,8
message_header.source_instance,32,12
tx_api_message_buffer,256
tx_api_message_buffer.header,64,0
tx_api_message_buffer.data,64,8
tx_api_message_buffer.context,64,16
tx_api_message_buffer.buffer_index,32,24
rx_api_message_buffer,256
rx_api_message_buffer.header,64,0
rx_api_message_buffer.data,64,8
rx_api_message_buffer.context,64,16
rx_api_message_buffer.buffer_index,32,24
worker_ready_msg,32800
worker_ready_msg.worker_executable_pathname_len,32,0
worker_ready_msg.worker_executable_pathname,32768,4
request_shutdown_msg,96
request_shutdown_msg.num_requests_per_worker,96,0
sum_integers_msg,65600
sum_integers_msg.request_id,32,0
sum_integers_msg.num_integers_to_sum,32,4
sum_integers_msg.integers_to_sum,65536,8
sum_result_msg,64
sum_result_msg.request_id,32,0
sum_result_msg.sum,32,4
worker_to_controller_msgs,32800
controller_to_worker_msgs,65600
