Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,0,1,1000000,1024,34,2.98,21,5.370095,0.003998,2.98,19,5.370959,0.004002,
ibv_rc_pingpong,0,1,1000000,1024,34,2.97,21,5.396094,0.007994,2.97,19,5.404924,0.000000,
ibv_uc_pingpong,1,1,1000000,1024,2068322,0.56,1985798,3.329189,9.112000,0.56,1986106,3.370353,8.803770,
ibv_rc_pingpong,1,1,1000000,1024,2074027,0.51,1769518,4.456938,10.363927,0.51,1944548,3.587537,8.902595,
ibv_uc_pingpong,0,1,1000000,2048,34,3.01,21,5.315556,0.007993,3.01,19,5.315967,0.007993,
ibv_rc_pingpong,0,1,1000000,2048,34,2.94,21,5.437272,0.008001,2.94,19,5.446965,0.000000,
ibv_uc_pingpong,1,1,1000000,2048,2057101,0.56,1990398,3.632421,9.025248,0.56,1990800,3.395380,9.137868,
ibv_rc_pingpong,1,1,1000000,2048,2050625,0.61,1910983,3.419894,8.939343,0.61,1910017,3.429373,8.978437,
ibv_uc_pingpong,0,1,1000000,4096,34,3.02,21,5.287175,0.011998,3.02,19,5.287658,0.011990,
ibv_rc_pingpong,0,1,1000000,4096,34,2.96,21,5.405067,0.004000,2.96,19,5.402868,0.008004,
ibv_uc_pingpong,1,1,1000000,4096,2057662,0.56,1989955,3.305883,9.246060,0.56,1990337,3.241631,9.302967,
ibv_rc_pingpong,1,1,1000000,4096,2049911,0.61,1910654,3.589060,8.964792,0.61,1912791,3.469749,8.916140,
ibv_uc_pingpong,0,2,1000000,1024,34,6.01,21,5.327268,0.007992,6.01,19,5.335729,0.000000,
ibv_rc_pingpong,0,2,1000000,1024,34,5.91,21,5.410499,0.007997,5.91,19,5.420514,0.000000,
ibv_uc_pingpong,1,2,1000000,1024,2103584,1.08,1877575,2.856578,8.894704,1.08,1651470,4.117070,10.091843,
ibv_rc_pingpong,1,2,1000000,1024,2043560,1.22,1927022,3.480754,9.092689,1.22,1928470,3.709785,8.774268,
ibv_uc_pingpong,0,2,1000000,2048,33,6.05,20,5.294577,0.003998,6.05,19,5.299688,0.000000,
ibv_rc_pingpong,0,2,1000000,2048,34,5.93,21,5.399777,0.007999,5.93,19,5.405750,0.003998,
ibv_uc_pingpong,1,2,1000000,2048,2056970,1.12,1982106,3.259789,9.309257,1.12,1982499,3.345320,9.110658,
ibv_rc_pingpong,1,2,1000000,2048,2044898,1.21,1933976,3.571036,8.823478,1.21,1935804,3.799129,8.709568,
ibv_uc_pingpong,0,2,1000000,4096,34,6.05,21,5.293092,0.004000,6.05,19,5.293720,0.003998,
ibv_rc_pingpong,0,2,1000000,4096,34,5.91,21,5.414074,0.003998,5.91,19,5.415799,0.003999,
ibv_uc_pingpong,1,2,1000000,4096,2070386,1.11,1987164,3.561604,9.030130,1.11,1987291,3.329167,9.381729,
ibv_rc_pingpong,1,2,1000000,4096,2034998,1.24,1886516,3.516692,8.752657,1.24,1887567,3.426324,8.596865,
ibv_uc_pingpong,0,4,1000000,1024,34,11.91,21,5.377131,0.004000,11.91,19,5.377537,0.004001,
ibv_rc_pingpong,0,4,1000000,1024,34,11.86,21,5.406413,0.000000,11.86,19,5.407564,0.000000,
ibv_uc_pingpong,1,4,1000000,1024,2054809,2.23,1987024,3.647359,9.251456,2.23,1987532,3.214115,9.326721,
ibv_rc_pingpong,1,4,1000000,1024,2030636,2.48,1886011,3.537577,8.741700,2.48,1885022,3.332340,9.004949,
ibv_uc_pingpong,0,4,1000000,2048,34,11.94,21,5.358497,0.007997,11.94,19,5.359684,0.007999,
ibv_rc_pingpong,0,4,1000000,2048,34,11.83,21,5.413475,0.003998,11.83,19,5.415180,0.003999,
ibv_uc_pingpong,1,4,1000000,2048,2057960,2.25,1975297,3.278572,9.185208,2.25,1975461,3.336034,9.447815,
ibv_rc_pingpong,1,4,1000000,2048,2071669,2.67,1100558,3.485250,10.314880,2.67,1610970,3.080480,7.618780,
ibv_uc_pingpong,0,4,1000000,4096,34,12.05,20,5.314694,0.003999,12.05,19,5.310732,0.007998,
ibv_rc_pingpong,0,4,1000000,4096,34,11.87,21,5.395089,0.003999,11.87,19,5.391285,0.007993,
ibv_uc_pingpong,1,4,1000000,4096,2058633,2.23,1986944,3.110653,9.662111,2.23,1987444,3.531950,9.100387,
ibv_rc_pingpong,1,4,1000000,4096,2038054,2.46,1900126,3.581546,8.786864,2.46,1901739,3.513385,8.684713,
ibv_uc_pingpong,0,8,1000000,1024,34,23.61,21,5.430029,0.000000,23.61,19,5.426217,0.003998,
ibv_rc_pingpong,0,8,1000000,1024,34,23.04,21,5.564015,0.000000,23.04,19,5.556350,0.008000,
