Partial results from a test on a Mellanox ConnectX-2:
$ ibv_time_retry_timeout/ibv_time_retry_timeout 
uverbs0 (vendor_id=0x2c9 vendor_part_id=0x673c) local_ca_ack_delay=15

timeout,retry_cnt,elapsed retry time (us)
1,0,333559
1,1,1069457
1,2,1604882
2,0,533978
2,1,1069394
2,2,1604930
3,0,534012
3,1,1069468
3,2,1604915
4,0,534146
4,1,1069392
4,2,1604906
5,0,534121
5,1,1069504
5,2,1604930
6,0,534113
6,1,1069599
6,2,1604813
7,0,533984
7,1,1069550
7,2,1604955
8,0,534120
8,1,1069486
8,2,1604964
9,0,534077
9,1,1069399
9,2,1604864
10,0,534138
10,1,1069439
10,2,1604667
11,0,534007
11,1,1069457
11,2,1604805
12,0,533831
12,1,1069450
12,2,1604929
13,0,534038
13,1,1069504
13,2,1604840
14,0,534033
14,1,1069510
14,2,1604874
15,0,534088
15,1,1069519
15,2,1604894
16,0,533482
16,1,1069476
16,2,1604806
17,0,1069378
17,1,2140245
17,2,3211013
18,0,2140237
18,1,4281738
18,2,6423513
19,0,3210705
19,1,8565217
19,2,12848433
20,0,8565023
20,1,17131606
20,2,25697092
21,0,17130513
21,1,34263714
21,2,51395947
22,0,25697043
22,1,68530703
22,2,102798282
23,0,68529907
23,1,137059805
23,2,205594098
24,0,102795154
24,1,274129853
24,2,411200313
25,0,274129520
25,1,548253285
25,2,822400041
26,0,411194373
26,1,1096539231

The results are partial since stopped the test before the results for the longer timeouts values were measured.
They do show that the smallest usable timeout is 16, since all timeout values from 1..16 result in the same elapased retry time.
