Results from a Mellanox ConnectX-2 with 4xQDR ports:

$ ibv_time_rnr/ibv_time_rnr 
min_rnr_timer,duration post recv-before-send (us),duration post-recv-after-send (us)
0,8,2142152
1,8,166
2,10,179
3,8,184
4,9,246
5,10,248
6,7,378
7,7,380
8,8,509
9,8,510
10,8,1032
11,9,1031
12,9,2079
13,11,2079
14,9,4171
15,9,4169
16,10,8350
17,10,8350
18,9,16723
19,10,16721
20,12,33457
21,10,33457
22,9,66931
23,9,66931
24,9,133861
25,9,133873
26,10,267767
27,11,267742
28,9,535528
29,8,535525
30,9,1071045
31,8,1071048
