Program,use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
ibv_uc_pingpong,0,1,1000000,1024,26,8.54,16,1.876000,0.000000,8.54,15,1.876000,0.000000,
ibv_rc_pingpong,0,1,1000000,1024,26,8.44,16,1.896000,0.000000,8.44,15,1.896000,0.000000,
ibv_uc_pingpong,1,1,1000000,1024,2025302,1.88,1880312,3.528000,0.660000,1.88,1879819,3.492000,0.700000,
ibv_rc_pingpong,1,1,1000000,1024,2046283,3.69,1136435,2.324000,0.348000,3.69,1138895,2.312000,0.348000,
ibv_uc_pingpong,0,1,1000000,2048,25,8.56,16,1.868000,0.000000,8.56,15,1.868000,0.000000,
ibv_rc_pingpong,0,1,1000000,2048,38,8.39,16,1.908000,0.000000,8.39,15,1.908000,0.000000,
ibv_uc_pingpong,1,1,1000000,2048,2021744,1.86,1882795,3.424000,0.864000,1.86,1883182,3.576000,0.728000,
ibv_rc_pingpong,1,1,1000000,2048,2048070,3.45,1198112,2.400000,0.404000,3.45,1200283,2.420000,0.420000,
ibv_uc_pingpong,0,1,1000000,4096,26,8.58,16,1.864000,0.000000,8.58,15,1.864000,0.000000,
ibv_rc_pingpong,0,1,1000000,4096,26,8.42,16,1.900000,0.000000,8.42,15,1.900000,0.000000,
ibv_uc_pingpong,1,1,1000000,4096,2020554,1.86,1884642,3.508000,0.768000,1.86,1885505,3.560000,0.740000,
ibv_rc_pingpong,1,1,1000000,4096,2051251,3.42,1213742,2.380000,0.456000,3.42,1218781,2.424000,0.416000,
ibv_uc_pingpong,0,2,1000000,1024,26,17.10,16,1.872000,0.000000,17.10,15,1.872000,0.000000,
ibv_rc_pingpong,0,2,1000000,1024,26,16.78,16,1.908000,0.000000,16.78,15,1.908000,0.000000,
ibv_uc_pingpong,1,2,1000000,1024,2025692,3.77,1892114,3.564000,0.700000,3.77,1893454,3.604000,0.624000,
ibv_rc_pingpong,1,2,1000000,1024,2050027,6.68,1237432,2.432000,0.472000,6.68,1238288,2.500000,0.360000,
ibv_uc_pingpong,0,2,1000000,2048,37,17.13,16,1.864000,0.004000,17.13,16,1.868000,0.000000,
ibv_rc_pingpong,0,2,1000000,2048,26,16.87,16,1.896000,0.000000,16.87,15,1.896000,0.000000,
ibv_uc_pingpong,1,2,1000000,2048,2039045,3.78,1845651,3.400000,0.808000,3.78,1865897,3.500000,0.704000,
ibv_rc_pingpong,1,2,1000000,2048,2048168,6.98,1188696,2.404000,0.372000,6.98,1191850,2.404000,0.360000,
ibv_uc_pingpong,0,2,1000000,4096,26,17.12,16,1.868000,0.000000,17.12,15,1.868000,0.000000,
ibv_rc_pingpong,0,2,1000000,4096,26,16.78,16,1.908000,0.000000,16.78,15,1.908000,0.000000,
ibv_uc_pingpong,1,2,1000000,4096,2021745,3.75,1871972,3.556000,0.684000,3.75,1876652,3.664000,0.616000,
ibv_rc_pingpong,1,2,1000000,4096,2045928,6.76,1217950,2.416000,0.456000,6.76,1220153,2.480000,0.392000,
ibv_uc_pingpong,0,4,1000000,1024,26,34.51,16,1.856000,0.000000,34.52,15,1.856000,0.000000,
ibv_rc_pingpong,0,4,1000000,1024,26,33.57,16,1.908000,0.000000,33.57,15,1.904000,0.004000,
ibv_uc_pingpong,1,4,1000000,1024,2025424,7.47,1885292,3.684000,0.604000,7.47,1881908,3.528000,0.720000,
ibv_rc_pingpong,1,4,1000000,1024,2047472,14.22,1169027,2.352000,0.364000,14.22,1171641,2.364000,0.384000,
ibv_uc_pingpong,0,4,1000000,2048,38,34.16,16,1.872000,0.000000,34.16,15,1.872000,0.000000,
ibv_rc_pingpong,0,4,1000000,2048,26,33.67,16,1.900000,0.000000,33.68,15,1.900000,0.000000,
ibv_uc_pingpong,1,4,1000000,2048,2024248,7.56,1889006,3.444000,0.828000,7.56,1891792,3.636000,0.644000,
ibv_rc_pingpong,1,4,1000000,2048,2045668,14.23,1159999,2.372000,0.348000,14.23,1163331,2.356000,0.364000,
ibv_uc_pingpong,0,4,1000000,4096,26,34.26,16,1.868000,0.000000,34.26,15,1.868000,0.000000,
ibv_rc_pingpong,0,4,1000000,4096,38,33.79,16,1.896000,0.000000,33.79,15,1.892000,0.000000,
ibv_uc_pingpong,1,4,1000000,4096,2022051,7.50,1881499,3.716000,0.532000,7.50,1881664,3.576000,0.648000,
ibv_rc_pingpong,1,4,1000000,4096,2048708,13.83,1190478,2.444000,0.372000,13.84,1191281,2.360000,0.420000,
ibv_uc_pingpong,0,8,1000000,1024,25,66.69,16,1.920000,0.000000,66.70,15,1.916000,0.004000,
ibv_rc_pingpong,0,8,1000000,1024,23,65.68,16,1.952000,0.000000,65.68,15,1.952000,0.000000,
