use_events,message_size,num_exchanges,MTU,Num mlx4 interrupts,Server Mbit/sec,Server voluntary_ctxt_switches,Server user time,Server system time,Server Mbit/sec,Client voluntary_ctxt_switches,Client user time,Client system time
0,1,1000000,1024,30,8.42,18,1.900000,0.004000,8.42,17,1.900000,0.000000,
1,1,1000000,1024,2050425,3.47,1195560,2.444000,0.372000,3.47,1199032,2.476000,0.344000,
0,1,1000000,2048,30,8.32,18,1.924000,0.000000,8.32,17,1.924000,0.000000,
1,1,1000000,2048,2045642,3.52,1174450,2.396000,0.352000,3.52,1178412,2.396000,0.360000,
0,1,1000000,4096,30,8.42,20,1.900000,0.000000,8.42,15,1.900000,0.000000,
1,1,1000000,4096,2052057,2.90,1342056,2.456000,0.716000,2.90,1353534,2.548000,0.644000,
0,2,1000000,1024,30,16.68,20,1.908000,0.000000,16.68,15,1.920000,0.000000,
1,2,1000000,1024,2044233,8.36,1075634,2.144000,0.432000,8.36,1078557,2.272000,0.304000,
0,2,1000000,2048,30,16.79,18,1.904000,0.000000,16.79,17,1.904000,0.000000,
1,2,1000000,2048,2045569,6.13,1298767,2.552000,0.564000,6.13,1293745,2.480000,0.552000,
0,2,1000000,4096,30,16.75,18,1.908000,0.004000,16.75,17,1.912000,0.000000,
1,2,1000000,4096,2042298,6.67,1212718,2.528000,0.360000,6.67,1216305,2.496000,0.348000,
0,4,1000000,1024,28,33.62,18,1.904000,0.000000,33.63,17,1.900000,0.004000,
1,4,1000000,1024,2048077,13.62,1205060,2.492000,0.392000,13.62,1205062,2.468000,0.360000,
0,4,1000000,2048,30,33.82,18,1.892000,0.000000,33.82,17,1.892000,0.000000,
1,4,1000000,2048,2045471,13.04,1243329,2.500000,0.448000,13.04,1247869,2.524000,0.420000,
0,4,1000000,4096,27,33.66,20,1.900000,0.000000,33.66,15,1.896000,0.004000,
1,4,1000000,4096,2047158,14.66,1139267,2.388000,0.340000,14.66,1142079,2.384000,0.324000,
0,8,1000000,1024,30,65.43,18,1.956000,0.000000,65.44,17,1.956000,0.000000,
1,8,1000000,1024,2055109,27.30,1206744,2.568000,0.328000,27.30,1207928,2.560000,0.304000,
0,8,1000000,2048,30,65.32,20,1.960000,0.000000,65.32,15,1.960000,0.000000,
1,8,1000000,2048,2047597,25.56,1287376,2.704000,0.348000,25.57,1291974,2.616000,0.424000,
0,8,1000000,4096,30,65.39,18,1.956000,0.000000,65.40,17,1.956000,0.000000,
1,8,1000000,4096,2048565,25.49,1280557,2.604000,0.420000,25.49,1283021,2.604000,0.380000,
0,16,1000000,1024,30,133.31,18,1.920000,0.000000,133.32,17,1.920000,0.000000,
1,16,1000000,1024,2050561,54.99,1197204,2.452000,0.372000,54.99,1200491,2.492000,0.348000,
0,16,1000000,2048,27,133.35,20,1.920000,0.000000,133.37,15,1.920000,0.000000,
1,16,1000000,2048,2056016,53.37,1230854,2.544000,0.352000,53.37,1234671,2.496000,0.392000,
0,16,1000000,4096,42,133.52,18,1.916000,0.000000,133.54,17,1.920000,0.000000,
